100 10000
A 99 75
B 75 27
B 90 30
B 58 83
A 37 40
B 20 35
B 80 66
B 21 57
A 79 71
A 49 57
B 3 23
B 96 24
A 76 56
A 92 98
B 88 2
A 49 86
A 89 83
B 12 3
A 71 78
B 80 61
B 86 81
B 33 19
A 52 30
B 97 81
B 72 74
B 4 23
A 85 22
B 62 27
A 78 43
B 36 85
A 36 71
A 40 69
B 7 46
B 55 10
B 24 61
A 79 15
B 45 90
B 25 32
A 4 18
A 33 39
B 60 8
B 81 20
A 7 43
B 54 72
A 84 19
A 36 48
A 91 96
B 75 64
A 91 52
A 76 83
B 9 25
B 11 55
B 89 97
B 30 72
A 56 44
B 79 92
B 22 47
A 27 61
A 24 53
B 3 41
A 1 23
A 10 28
B 75 95
A 57 87
A 69 35
B 40 73
A 9 55
B 53 15
B 17 71
A 49 37
B 16 82
B 12 43
B 39 54
A 74 89
B 79 49
B 8 4
A 73 77
A 38 83
B 60 42
B 53 55
A 87 59
A 96 79
B 68 60
A 98 88
B 79 12
B 37 55
B 3 50
A 14 58
A 36 68
B 35 22
B 49 48
A 25 64
A 23 79
A 48 28
B 2 47
A 85 24
B 57 9
A 64 88
B 24 58
B 40 73
A 27 32
B 91 31
A 95 98
A 66 19
B 16 88
A 83 77
A 33 55
B 82 83
B 24 4
B 18 83
A 80 17
B 37 82
A 5 22
A 65 48
B 67 57
A 79 39
A 45 40
A 33 65
B 99 34
B 57 96
B 92 47
A 30 81
B 20 31
B 47 43
A 35 93
B 10 49
B 86 37
A 9 6
B 74 91
A 80 85
A 41 5
B 21 66
B 69 27
B 52 13
A 82 56
B 36 54
B 9 90
B 31 66
A 40 1
A 8 74
B 6 16
B 100 41
A 79 52
A 37 42
B 95 30
B 81 86
B 25 1
B 75 66
A 32 4
A 33 8
B 37 30
B 53 51
A 47 9
B 75 81
B 14 24
B 49 77
A 80 69
B 85 40
A 76 73
A 79 17
A 38 14
A 75 50
B 99 15
B 26 41
A 95 11
B 74 26
B 33 97
B 76 83
B 1 8
A 44 100
B 91 49
B 97 16
B 75 37
A 39 2
A 64 2
A 10 3
A 1 27
A 42 59
A 99 50
A 91 75
A 65 71
A 94 86
B 31 41
B 84 12
A 60 95
B 37 48
B 100 12
B 15 55
B 18 76
A 95 91
B 35 14
B 8 58
A 52 49
A 22 18
A 51 40
A 20 73
B 21 75
A 17 86
B 18 58
B 54 100
A 55 72
A 55 42
A 75 10
A 80 98
A 78 6
A 41 26
A 28 57
B 46 63
B 67 45
A 2 86
B 9 27
A 74 96
A 61 66
B 60 45
A 43 61
B 49 57
A 88 11
B 92 25
B 2 4
B 85 25
B 14 91
B 96 9
B 63 28
A 75 60
B 61 47
B 100 26
B 94 55
A 17 100
A 34 31
B 24 34
B 57 58
B 7 66
A 75 52
B 19 4
A 47 94
B 14 26
A 100 39
A 12 66
B 80 65
B 17 88
A 33 47
A 63 27
B 34 55
A 2 74
A 78 85
A 77 20
A 49 40
B 24 32
A 80 85
A 73 91
B 4 15
B 34 46
B 74 73
B 48 87
B 78 38
B 42 23
B 97 81
B 41 55
B 95 36
B 57 76
B 62 65
A 44 100
A 84 72
B 49 9
B 54 43
A 44 37
B 25 18
B 83 17
A 67 33
B 64 62
B 47 27
B 69 10
A 26 22
A 85 80
B 26 64
B 77 71
A 16 9
B 93 40
B 40 77
B 65 45
A 73 79
A 62 71
A 85 58
B 83 45
A 98 12
B 14 13
A 74 44
B 40 83
A 19 30
B 66 88
A 28 9
B 35 75
B 76 27
B 75 47
B 5 77
A 21 75
B 63 89
A 77 96
B 96 1
B 24 46
B 8 13
A 30 69
B 41 30
A 70 65
A 21 81
B 54 98
A 66 35
A 49 15
A 45 62
B 26 65
A 97 79
A 98 28
B 90 62
B 85 70
B 15 51
A 54 70
B 16 6
B 96 48
A 35 7
B 6 96
B 68 18
B 68 63
B 84 20
B 27 70
B 13 3
A 63 56
B 14 77
B 70 32
A 12 56
A 9 47
A 45 78
B 73 45
B 1 74
A 4 93
A 61 91
A 15 31
A 33 53
A 34 41
B 53 66
B 40 70
A 22 93
B 55 57
B 73 2
B 72 64
A 77 40
A 72 75
B 12 51
B 44 20
A 52 75
B 93 35
B 56 89
B 57 71
B 97 88
A 61 59
B 40 7
B 3 88
A 59 32
B 56 44
B 35 53
A 52 2
A 88 17
B 76 5
A 12 11
A 67 68
A 16 25
B 72 45
B 14 7
B 3 30
A 73 6
B 65 14
B 54 47
B 84 87
B 73 39
B 5 4
B 10 88
B 91 70
B 5 2
A 30 3
B 70 54
A 42 99
B 59 5
B 8 43
A 43 31
B 97 8
A 64 41
B 43 32
A 42 13
B 6 85
A 93 85
B 23 93
A 20 57
A 18 8
A 99 100
A 78 36
B 64 18
A 4 2
B 97 96
A 34 13
B 89 17
A 11 31
A 13 45
B 13 77
B 40 57
B 20 32
A 75 21
A 58 8
B 62 56
A 53 84
A 42 84
B 68 98
A 12 59
A 46 55
B 40 81
B 36 35
A 39 90
B 34 96
B 34 21
A 7 20
B 66 25
A 55 73
A 96 30
A 60 29
B 56 88
A 60 43
B 12 20
B 37 23
B 97 19
A 42 47
A 35 44
B 8 89
B 87 3
A 28 62
B 56 26
B 62 78
B 76 77
B 71 13
A 38 69
A 76 55
A 3 60
A 15 67
A 99 53
A 58 88
A 80 33
B 18 45
B 18 60
B 60 75
B 38 50
A 97 79
A 91 30
B 56 9
B 83 91
A 80 54
A 37 93
B 90 8
B 92 33
A 6 72
B 73 71
A 80 15
B 84 53
A 91 61
B 57 98
A 83 65
B 92 57
B 89 77
A 18 60
B 12 40
B 96 29
B 44 28
A 67 94
B 5 27
B 11 89
A 93 48
A 29 48
B 48 64
B 4 83
A 16 63
B 59 46
A 40 21
B 52 61
B 51 89
A 7 60
A 93 76
A 78 82
A 24 75
A 79 28
B 86 56
B 5 18
A 83 51
B 73 20
A 43 89
A 57 54
B 81 98
B 30 99
B 49 30
B 48 95
B 18 82
B 62 78
A 95 28
A 86 66
A 66 79
A 42 99
A 55 85
A 27 96
A 12 45
A 14 69
B 40 24
B 55 9
B 70 9
A 30 76
B 83 5
B 97 70
B 51 24
B 57 19
B 3 41
A 13 67
A 53 94
A 86 58
B 86 67
A 35 10
A 7 6
B 58 71
A 97 47
A 60 91
B 56 73
A 14 12
A 19 69
B 90 77
B 96 58
B 9 85
B 10 66
A 65 45
A 56 19
A 52 41
A 13 64
B 8 76
A 76 32
B 3 38
B 52 8
A 4 65
A 68 49
B 32 89
B 58 36
B 65 63
A 96 93
B 51 19
A 86 47
B 87 39
A 89 51
B 30 34
A 59 38
A 84 26
B 82 99
A 18 85
B 28 88
A 15 77
A 36 65
A 48 6
B 87 10
A 60 86
B 57 14
B 70 5
A 14 25
B 34 36
B 85 64
A 16 49
A 32 78
A 97 99
B 54 87
A 78 36
B 45 49
A 12 58
A 97 34
A 95 89
B 52 62
A 3 57
B 80 44
A 38 27
A 58 71
B 82 9
B 68 65
B 26 21
A 63 32
B 81 36
B 32 11
A 67 95
A 37 36
A 12 70
A 13 65
A 67 46
B 48 32
B 76 74
A 61 41
A 29 50
B 58 17
B 86 20
A 63 6
B 55 27
B 19 40
A 1 8
A 81 28
B 57 34
A 29 15
A 46 48
A 25 61
A 71 55
A 86 48
A 25 63
A 87 20
B 17 69
A 100 2
A 80 50
A 53 56
A 71 55
B 84 89
A 8 58
B 5 100
A 11 20
A 7 24
A 99 24
B 56 75
B 83 3
B 11 24
A 99 7
B 86 62
A 21 99
B 80 63
A 56 3
A 14 64
B 56 71
B 30 98
A 96 17
A 75 49
A 47 12
A 99 73
A 15 40
A 57 18
A 80 44
A 89 77
A 93 25
A 73 6
B 23 20
B 41 24
B 68 32
B 94 83
A 87 57
A 22 66
A 36 35
B 69 87
A 89 28
B 82 24
A 11 5
B 99 71
B 45 72
B 78 2
B 90 39
B 9 97
A 39 60
A 7 73
B 87 4
A 54 78
B 98 83
B 46 37
B 2 61
A 28 74
A 8 68
B 60 4
A 64 66
A 94 54
B 98 32
A 50 17
B 50 80
A 8 42
A 40 46
B 10 85
B 71 6
B 64 34
A 90 32
B 78 11
A 69 75
B 29 27
B 6 64
B 30 92
A 1 9
A 85 33
B 75 2
B 16 10
B 34 72
B 55 30
B 92 12
B 83 33
B 71 43
A 38 7
A 19 21
A 89 91
B 96 18
A 13 68
A 48 52
A 33 40
A 57 78
B 53 65
A 36 84
A 29 41
A 2 46
B 94 77
B 96 91
B 48 27
A 71 24
A 19 62
A 32 86
A 36 35
A 54 80
A 71 70
B 5 59
A 41 2
B 22 69
B 99 37
B 4 98
A 70 90
A 49 26
A 15 67
A 23 4
B 99 50
A 24 47
B 66 18
A 10 75
B 46 77
A 69 92
A 36 83
B 82 93
B 46 74
B 73 7
A 40 1
A 97 64
B 38 88
A 43 17
B 37 80
B 53 42
A 96 99
A 90 91
A 46 73
A 99 29
A 8 77
B 61 8
A 67 79
A 69 31
A 45 39
A 15 41
A 87 15
A 79 89
B 32 54
B 62 94
B 4 38
A 14 61
B 47 22
B 75 98
A 18 51
A 55 70
A 56 50
B 76 94
A 36 87
B 66 2
A 30 90
A 13 31
B 41 77
B 79 61
A 44 37
B 32 90
A 65 35
B 15 64
A 98 49
A 67 65
A 17 36
B 74 93
A 60 12
A 29 20
B 17 29
B 27 78
B 73 83
B 35 33
B 75 66
B 43 29
B 43 49
B 65 79
B 66 82
A 87 90
A 23 38
A 73 30
B 50 9
A 32 52
A 12 8
A 37 38
B 74 61
B 95 64
A 18 61
B 41 23
B 4 64
B 97 65
A 60 94
B 65 37
B 97 23
A 80 3
B 16 58
A 45 77
A 37 26
A 55 12
A 83 61
B 39 49
A 63 43
B 99 62
B 6 52
B 26 67
A 4 25
A 21 98
A 17 16
B 45 75
B 31 9
A 40 23
B 33 80
B 26 99
A 99 6
B 20 59
A 11 40
A 64 45
A 37 6
A 10 48
A 82 26
A 61 26
A 56 30
B 51 73
B 50 21
A 77 40
B 74 64
B 23 57
B 55 32
B 17 50
A 88 17
B 63 36
A 97 28
A 95 19
B 5 24
B 53 50
A 21 55
A 10 44
A 63 47
A 90 46
A 50 38
A 54 33
A 72 81
A 8 77
B 38 11
B 35 72
A 20 55
B 64 6
A 13 62
B 32 47
A 88 34
A 16 27
A 3 32
B 97 27
B 83 33
B 88 47
A 52 25
A 75 64
A 93 24
A 41 60
A 4 70
A 21 58
B 97 76
B 49 34
A 17 19
A 3 87
A 26 58
A 99 60
A 13 22
A 36 35
B 4 7
B 20 6
A 65 34
B 6 76
B 30 57
B 91 13
A 48 56
A 39 88
B 43 60
A 61 5
B 85 80
A 72 75
B 16 62
A 100 30
A 95 46
A 11 54
A 19 8
B 43 4
B 77 54
A 82 5
A 26 23
B 38 86
B 44 71
A 5 23
A 66 27
A 34 51
B 38 63
A 15 18
B 90 67
B 40 33
A 69 83
B 50 44
B 77 42
B 13 66
A 31 72
B 4 59
B 13 80
B 15 7
B 73 34
A 26 33
A 9 35
B 40 80
B 88 72
B 7 26
A 4 40
A 54 91
A 66 31
B 31 46
B 29 3
B 66 41
A 24 94
B 29 31
A 77 84
B 94 76
B 70 74
B 92 56
B 64 3
B 5 95
A 42 97
A 41 48
A 36 92
B 74 12
B 72 83
A 27 29
B 23 51
A 41 28
A 16 55
B 65 56
A 65 15
B 95 13
A 7 51
B 58 79
B 45 85
B 82 27
A 69 91
B 25 97
A 32 63
A 53 90
A 46 65
B 91 25
A 62 89
B 62 60
B 79 87
B 52 45
B 2 70
A 19 77
A 7 94
A 62 69
B 64 77
A 11 69
B 89 39
B 66 81
A 65 98
B 96 76
B 68 29
A 35 80
B 84 38
B 88 66
B 32 87
B 3 95
B 83 27
B 33 21
A 7 87
A 75 99
B 99 54
A 81 54
A 64 7
A 17 86
B 33 86
A 96 47
B 32 91
A 72 43
B 38 67
B 56 54
A 22 54
B 38 80
B 74 71
B 14 75
B 51 94
A 36 38
B 95 17
B 80 41
A 78 83
B 2 64
B 33 97
A 72 8
A 29 77
A 50 51
B 76 38
A 8 3
B 21 22
B 25 30
A 84 40
B 82 36
A 76 6
A 87 39
A 37 22
A 19 99
B 34 12
A 63 26
B 61 19
B 6 68
A 37 50
B 92 17
A 45 39
A 34 46
B 6 4
B 15 27
A 65 56
A 42 54
B 97 69
B 19 24
B 49 24
B 77 99
B 34 31
A 96 20
B 94 92
A 81 38
A 6 53
A 36 19
B 65 24
B 13 62
B 52 25
B 79 88
B 89 67
A 17 18
B 98 33
B 96 73
B 74 11
A 39 98
B 68 12
A 85 28
B 78 57
A 21 13
B 48 47
A 63 87
B 28 49
A 45 61
B 16 61
A 50 55
A 46 83
A 84 48
B 17 78
A 6 14
B 69 40
B 30 32
B 8 96
A 43 48
A 13 78
A 21 55
B 26 46
B 48 92
B 72 12
B 88 72
B 24 77
B 54 80
B 22 14
B 23 78
A 34 62
B 90 5
B 83 81
A 54 93
B 84 33
B 45 83
A 44 92
A 14 35
B 4 86
B 68 82
B 85 4
A 5 61
B 32 54
A 48 91
B 5 37
A 23 59
B 48 84
A 80 54
B 51 32
B 36 83
A 87 72
B 82 49
B 31 2
B 1 96
A 92 35
B 54 70
B 78 82
B 45 60
A 47 80
A 99 8
B 63 4
B 18 22
B 63 53
B 57 88
A 32 40
B 61 27
A 4 44
B 31 24
B 14 95
A 21 42
A 90 51
A 49 60
A 48 91
B 44 84
B 6 76
B 50 81
B 71 9
B 82 53
A 13 30
A 4 53
B 25 45
B 60 67
A 17 58
A 83 70
A 5 52
A 9 3
B 91 31
B 97 84
B 33 9
B 33 18
A 84 28
A 80 77
A 69 79
B 18 77
B 39 55
A 66 65
A 29 41
A 39 69
B 29 26
B 44 85
B 38 11
B 70 93
A 61 42
B 13 63
B 91 56
B 77 52
A 34 7
B 28 95
A 35 27
A 69 2
A 6 11
A 83 71
A 57 92
B 3 99
A 60 13
A 90 47
B 84 14
B 21 7
A 31 65
B 13 95
B 84 45
A 10 76
A 64 7
A 20 63
B 74 82
B 56 97
A 82 60
B 17 44
B 19 64
A 93 14
B 33 73
A 11 2
A 32 41
A 20 92
A 81 31
A 63 46
A 69 9
B 66 61
A 32 78
A 13 19
A 8 35
A 15 91
B 32 85
B 92 64
A 10 66
A 31 45
A 60 90
A 38 52
B 77 47
A 14 50
B 32 56
A 12 35
A 78 38
A 29 47
B 28 68
B 30 3
B 55 65
B 33 54
B 100 22
B 39 10
B 99 84
A 43 89
B 34 11
B 95 45
B 14 2
B 68 17
B 24 82
A 24 20
A 15 26
B 60 35
A 66 60
B 99 40
A 27 89
B 89 84
A 87 20
B 77 21
A 53 8
A 55 10
A 97 26
A 98 16
B 82 8
A 89 15
B 92 24
B 24 34
B 61 39
B 63 69
B 81 90
B 17 12
A 9 90
A 15 5
A 58 78
B 12 52
A 43 90
A 55 100
B 83 32
A 85 31
A 30 53
B 91 60
A 76 32
A 31 37
A 2 100
B 85 58
A 48 51
B 64 61
A 42 6
A 39 24
A 33 68
B 8 10
A 81 82
B 39 56
A 65 18
B 76 62
A 9 60
B 39 6
B 40 96
B 3 52
A 27 74
B 17 37
B 16 45
A 38 78
B 74 9
A 97 7
B 92 97
B 66 32
B 41 35
A 65 56
A 28 19
B 50 60
A 82 55
B 61 68
B 24 40
B 68 27
B 72 18
A 85 81
A 44 92
A 52 6
A 10 14
B 5 17
A 87 59
B 79 70
A 96 98
B 89 97
A 1 45
A 41 7
B 14 72
A 68 32
A 36 89
B 22 11
A 22 61
B 33 30
B 27 4
B 45 13
A 91 12
B 73 25
A 27 73
B 77 74
B 8 61
B 97 78
B 44 19
A 74 5
A 50 93
B 86 28
A 32 18
A 61 49
B 87 36
A 50 64
B 85 17
A 17 83
A 92 9
A 53 96
B 64 26
B 59 78
B 13 86
B 47 88
A 32 6
B 10 66
B 11 84
B 94 26
A 12 80
B 24 65
B 2 19
B 18 3
A 49 41
A 67 3
B 98 62
A 63 78
B 88 99
B 34 91
B 9 48
A 1 95
B 47 61
A 72 96
B 72 30
B 64 22
A 98 50
B 22 50
A 1 66
B 43 85
B 47 84
B 32 45
A 3 22
A 35 85
B 7 20
B 55 84
A 46 70
B 67 34
A 62 61
B 93 86
B 62 77
A 95 22
B 30 60
A 86 49
B 19 53
A 95 62
A 93 98
A 23 63
A 85 64
B 49 89
A 34 84
B 63 75
B 13 63
B 38 90
A 31 42
B 48 96
B 39 66
B 56 36
A 47 36
B 99 51
B 69 12
A 46 80
A 77 17
B 62 72
A 8 29
A 68 7
B 82 8
B 16 19
A 19 62
A 24 93
B 74 38
A 91 43
B 86 72
A 18 58
A 78 37
A 32 74
B 34 65
B 5 69
B 48 84
B 24 39
A 95 61
A 81 84
A 46 53
B 33 93
A 91 65
B 90 99
A 67 21
B 98 91
A 95 43
B 93 59
A 31 91
A 85 55
B 53 68
B 55 33
B 6 4
B 65 71
A 28 45
B 35 88
B 89 72
B 29 89
A 54 68
B 3 79
A 28 32
A 96 38
B 55 33
B 73 74
B 75 35
A 23 33
A 9 43
A 97 35
A 82 68
B 70 2
A 26 40
A 75 92
B 36 44
B 53 94
B 21 5
A 53 11
A 5 25
B 9 98
B 39 44
A 68 85
A 32 48
A 12 40
A 16 19
B 81 84
A 38 2
B 85 78
B 37 24
A 82 62
B 54 10
B 26 83
A 78 82
B 7 57
B 63 100
A 88 1
B 92 62
A 39 15
A 64 92
B 59 90
B 7 67
A 45 26
A 41 90
A 54 51
B 26 25
B 11 46
A 45 13
B 74 4
A 78 21
B 36 65
A 72 45
B 56 63
A 20 92
B 41 9
A 60 52
B 51 64
B 24 39
B 52 27
A 60 30
B 60 58
A 60 62
A 25 60
A 30 35
A 74 64
A 21 89
B 56 45
A 95 68
A 40 90
B 74 3
A 57 27
A 21 65
A 85 95
A 98 7
B 32 63
B 48 54
A 58 15
B 98 82
A 37 79
B 40 32
A 85 24
B 46 45
A 67 60
A 75 39
B 9 57
A 42 52
B 38 28
A 51 67
B 16 62
A 47 95
A 11 7
B 34 76
B 18 2
A 77 96
A 43 21
A 98 75
A 87 75
B 16 67
B 85 16
B 21 26
A 14 94
B 32 39
A 36 60
B 45 23
A 84 72
A 53 25
A 58 17
B 6 28
B 55 50
B 99 19
A 63 32
A 17 87
A 20 36
B 9 97
A 87 43
A 96 31
B 24 80
A 62 28
A 49 45
A 71 70
B 61 49
A 58 44
B 17 23
B 2 92
B 76 31
B 21 5
B 79 82
B 71 77
A 16 36
A 98 80
A 43 92
B 11 30
A 63 27
A 48 95
B 50 68
A 66 52
B 80 23
A 46 72
B 42 14
B 93 46
B 9 41
B 39 83
A 69 46
A 99 81
A 47 3
B 53 91
A 56 15
B 99 9
B 50 63
A 89 64
B 31 65
A 15 56
A 80 16
A 34 32
B 43 27
B 80 95
A 44 92
B 77 4
B 46 89
A 84 99
B 52 47
B 9 86
B 96 53
A 18 2
B 33 30
B 59 39
B 38 9
B 44 54
A 38 29
A 55 91
B 15 33
B 70 11
A 72 98
A 78 63
B 97 64
B 42 33
B 80 58
A 70 30
A 45 30
A 25 27
A 27 62
B 88 48
B 7 95
A 4 35
A 9 32
A 52 97
B 80 25
B 69 68
B 21 63
B 85 52
B 20 88
A 7 19
A 27 84
B 88 35
B 26 30
A 71 27
B 56 76
B 55 75
B 5 39
A 62 46
A 62 48
A 60 16
B 25 6
B 71 86
A 91 65
B 33 86
A 57 36
B 23 74
A 72 21
B 55 4
B 45 95
B 88 5
A 85 62
A 74 5
B 64 48
A 87 30
A 22 45
B 95 68
B 34 74
B 42 61
A 97 49
A 36 49
A 41 27
B 30 27
A 17 3
B 83 63
A 29 7
A 77 60
A 59 64
A 79 51
A 28 36
A 29 99
A 29 45
B 93 34
B 70 12
A 57 2
A 93 72
A 17 24
A 68 51
B 95 18
B 61 4
B 82 60
B 57 89
A 91 44
B 29 16
B 5 57
A 59 44
B 91 37
B 48 50
B 73 25
A 12 54
B 55 54
B 86 75
B 32 19
A 82 79
B 88 33
B 82 42
B 46 18
A 73 23
A 53 58
B 48 27
A 35 27
B 75 8
B 40 37
B 89 97
A 83 23
A 79 83
A 47 28
B 88 18
A 10 36
A 5 64
A 82 50
A 21 16
A 12 11
B 60 2
B 7 16
B 57 37
A 57 5
A 88 79
B 43 10
A 16 4
A 50 90
A 5 36
A 77 61
A 17 1
A 35 25
B 95 4
B 62 31
B 66 69
A 62 80
B 88 59
B 3 43
A 9 29
B 18 95
A 68 26
B 52 51
B 10 71
A 60 19
A 29 92
A 45 87
A 19 33
A 94 76
B 44 80
B 95 41
B 33 73
B 76 85
B 2 41
B 13 87
A 91 94
A 29 2
A 38 25
B 48 57
B 83 16
B 96 28
B 82 60
B 64 34
B 98 29
A 83 28
A 6 68
A 60 72
B 81 74
A 62 17
B 59 92
B 41 88
B 68 69
B 53 6
A 60 80
B 65 97
A 30 28
A 83 25
A 89 14
A 76 20
A 91 20
A 32 66
B 16 91
B 50 8
A 78 82
B 46 18
B 93 59
B 71 14
A 67 8
B 54 28
A 60 72
A 77 47
B 70 20
A 25 99
A 68 13
A 70 29
A 44 87
A 25 16
B 93 25
A 33 18
B 59 54
B 18 21
A 46 2
A 65 100
A 7 57
A 52 53
B 22 88
B 71 16
A 85 5
B 87 47
B 29 16
A 99 17
A 42 83
B 99 13
B 20 61
B 87 37
B 14 77
B 20 94
A 76 26
A 94 55
A 49 45
B 46 32
A 55 30
B 90 44
A 35 64
A 87 19
A 64 24
B 75 78
A 31 79
B 63 83
A 70 10
B 94 95
A 30 52
A 36 79
B 98 71
A 28 94
B 34 58
A 98 23
B 36 5
A 22 40
B 91 42
A 75 56
A 95 61
B 47 84
B 56 53
A 11 55
B 23 21
A 58 23
A 27 83
A 90 23
B 68 18
B 63 19
B 35 24
B 52 42
B 4 86
B 91 78
A 51 27
B 38 4
B 32 91
A 49 96
A 58 61
A 45 54
B 53 10
A 37 83
A 89 92
A 28 85
B 88 89
A 61 14
B 44 75
B 39 91
B 7 22
A 3 7
A 40 29
B 61 68
B 79 5
B 20 4
A 57 50
B 19 58
B 53 66
A 1 4
A 85 3
A 28 96
B 73 29
A 40 23
A 31 33
A 65 81
A 40 71
B 57 15
A 97 66
B 24 10
A 44 82
A 44 3
A 16 27
B 39 42
B 68 18
A 64 17
A 18 76
B 87 32
B 34 55
B 30 25
A 49 2
A 64 95
B 70 72
A 64 79
A 99 85
A 58 50
B 23 72
B 91 30
A 64 36
A 58 91
A 22 95
A 6 24
B 57 77
B 98 64
B 73 71
A 16 56
A 68 34
B 18 36
B 50 94
B 78 48
A 21 69
A 90 29
B 79 83
A 62 45
B 97 74
B 64 65
B 98 69
B 44 28
A 86 45
B 55 91
A 80 55
B 73 91
B 6 51
A 53 34
B 81 92
A 16 12
B 82 47
A 68 54
B 42 34
B 9 60
A 14 15
A 90 56
B 77 89
A 39 61
A 7 82
A 79 2
B 82 56
A 80 70
B 23 34
B 63 12
A 2 43
B 87 65
A 17 31
A 55 86
B 77 61
A 6 30
B 94 66
B 82 23
A 35 6
B 71 12
B 90 78
A 24 82
A 16 99
B 75 46
B 85 41
B 43 76
A 14 20
B 61 23
B 47 55
B 40 2
B 27 73
B 30 87
A 50 59
B 85 29
B 86 59
A 22 55
A 25 88
A 60 62
A 63 71
B 49 20
B 5 97
A 82 56
A 28 76
B 54 58
A 29 69
A 28 35
A 49 32
A 55 88
B 53 34
B 30 79
B 21 66
B 62 96
B 40 26
A 72 41
B 92 6
A 29 81
A 75 80
A 51 42
A 95 40
B 17 40
B 82 21
B 24 16
B 54 40
A 36 41
A 78 28
B 19 59
B 39 10
B 44 5
B 55 46
A 35 36
A 89 71
B 67 44
A 11 9
B 84 21
B 52 93
A 22 71
A 31 46
A 22 7
B 42 32
B 94 46
A 38 63
A 20 67
A 91 22
A 84 52
B 9 37
A 10 15
B 3 65
B 31 82
A 81 29
B 74 17
A 49 65
B 51 29
A 40 56
B 96 39
A 40 59
B 13 38
B 20 33
B 45 61
B 16 74
B 53 50
A 4 7
B 27 31
B 75 90
A 85 72
A 53 4
B 54 25
A 92 20
B 85 93
A 56 27
B 80 51
A 41 77
A 12 16
B 27 91
A 46 85
A 73 66
A 61 88
B 38 67
A 73 68
A 83 51
B 83 24
A 24 100
B 87 52
A 84 39
A 87 97
A 41 81
A 64 27
A 40 36
A 48 88
A 12 39
A 94 16
A 88 13
B 46 71
A 45 26
A 84 70
A 74 39
A 54 24
B 61 75
B 55 52
B 54 13
B 93 53
B 10 81
A 73 32
B 73 61
B 96 4
B 16 11
B 77 94
A 83 27
B 65 55
A 33 72
A 28 83
B 7 15
A 88 69
A 39 62
A 44 65
B 3 29
B 99 94
A 69 15
B 62 52
A 53 51
A 35 92
A 7 63
B 78 68
A 19 15
A 75 88
B 17 63
A 89 91
B 83 6
B 28 9
B 77 64
A 30 52
A 35 55
A 49 17
A 57 81
B 99 29
A 8 55
B 41 5
A 15 64
A 65 25
A 29 56
A 25 45
A 64 14
B 65 56
A 90 84
B 52 75
B 77 35
A 72 37
B 98 33
A 19 10
A 76 80
B 53 1
B 18 67
B 67 43
A 71 76
A 82 31
B 60 96
B 43 65
A 25 80
A 47 49
B 37 60
A 65 29
B 61 69
B 97 41
B 22 58
A 8 95
A 33 2
A 84 37
B 52 9
B 42 5
B 48 49
B 35 69
A 8 35
A 23 89
A 70 54
B 8 97
B 89 66
B 84 89
A 8 91
A 84 18
A 53 76
A 25 71
B 76 7
B 27 77
B 11 22
A 43 19
B 90 4
B 74 79
B 55 6
A 10 2
B 37 42
B 92 13
A 11 47
A 27 76
B 88 39
A 56 97
A 93 63
A 76 39
A 35 21
A 82 68
A 56 50
A 98 81
A 59 18
B 91 88
B 9 72
B 91 60
B 54 60
B 4 35
A 99 45
A 97 46
A 12 57
A 65 20
B 40 15
A 54 49
B 52 21
A 3 100
B 54 31
A 63 93
A 63 21
B 98 57
B 37 14
B 84 42
B 90 17
B 89 67
B 24 89
A 77 32
A 50 77
B 81 70
A 20 36
B 19 37
A 28 21
B 78 48
A 10 83
A 14 2
B 4 72
A 19 9
A 10 7
A 19 71
B 84 2
B 32 13
B 61 83
B 8 75
A 87 13
A 80 23
A 26 29
A 93 56
B 52 58
B 27 5
B 6 91
B 32 30
A 5 58
A 75 72
B 32 22
B 31 68
A 85 74
A 30 14
A 33 90
A 83 69
A 52 39
B 29 71
A 59 74
B 47 21
A 43 85
B 81 20
B 42 94
B 93 23
B 55 71
A 77 19
B 82 4
A 45 77
A 93 51
B 95 88
A 49 23
A 35 94
B 51 89
B 74 72
A 63 29
B 84 42
A 87 53
B 74 39
A 67 75
A 55 80
B 44 100
A 7 98
A 53 61
B 66 7
B 90 91
A 33 68
B 37 29
A 17 53
B 16 35
A 30 78
A 62 3
B 31 62
A 75 3
B 31 40
A 24 45
A 45 95
B 2 22
A 8 77
B 85 56
B 64 70
B 82 85
A 30 36
B 83 81
B 99 12
A 31 74
A 67 78
B 98 53
B 22 98
A 38 46
A 49 70
A 80 33
B 45 90
A 30 83
A 71 75
A 8 88
A 61 21
B 36 44
A 45 63
B 73 64
B 50 36
A 79 26
A 95 34
B 69 71
A 89 74
B 85 63
B 94 83
A 68 74
A 82 57
B 47 89
A 26 6
A 71 86
B 22 87
A 16 83
A 95 47
A 24 58
B 27 73
A 13 58
A 29 67
A 44 52
B 77 47
B 93 81
B 75 26
B 85 15
A 92 22
A 14 24
A 32 90
B 32 38
B 77 22
A 68 44
A 67 23
A 40 60
B 28 95
B 98 15
A 43 14
B 84 98
B 95 2
A 84 67
B 63 27
B 16 19
A 21 12
B 85 29
A 13 80
A 48 19
A 84 26
B 58 83
A 73 69
A 62 46
B 18 38
A 90 27
A 79 97
A 60 76
B 35 25
B 88 32
B 95 27
A 56 79
A 13 98
A 40 2
B 76 90
B 37 74
B 82 11
A 6 32
A 89 6
B 73 28
A 67 34
A 47 53
A 65 16
B 25 83
B 27 17
A 67 72
B 57 92
